model,n_neighbors,weights,precision_score,recall_score,f1_score,roc_auc_score
KNeighborsClassifier,1,uniform,0.1380952380952381,0.5714285714285714,0.17913832199546484,0.5776942355889725
KNeighborsClassifier,1,distance,0.1380952380952381,0.5714285714285714,0.17913832199546484,0.5776942355889725
KNeighborsClassifier,2,uniform,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.6328320802005013
KNeighborsClassifier,2,distance,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.6328320802005013
KNeighborsClassifier,3,uniform,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7092731829573935
KNeighborsClassifier,3,distance,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7055137844611529
KNeighborsClassifier,4,uniform,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7243107769423559
KNeighborsClassifier,4,distance,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7205513784461153
KNeighborsClassifier,5,uniform,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7418546365914787
KNeighborsClassifier,5,distance,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.738095238095238
KNeighborsClassifier,10,uniform,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7869674185463659
KNeighborsClassifier,10,distance,0.2619047619047619,0.3333333333333333,0.2857142857142857,0.7844611528822055
KNeighborsClassifier,20,uniform,0.23809523809523808,0.2857142857142857,0.25396825396825395,0.8583959899749374
KNeighborsClassifier,20,distance,0.23809523809523808,0.2857142857142857,0.25396825396825395,0.8596491228070176
KNeighborsClassifier,40,uniform,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8571428571428572
KNeighborsClassifier,40,distance,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.862155388471178
KNeighborsClassifier,50,uniform,0.30952380952380953,0.3333333333333333,0.31746031746031744,0.8558897243107769
KNeighborsClassifier,50,distance,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8671679197994988
