,model,n_neighbors,weights,precision_score,recall_score,f1_score,roc_auc_score
0,KNeighborsClassifier,1,uniform,0.20714285714285716,0.6190476190476191,0.25396825396825395,0.6278195488721805
1,KNeighborsClassifier,1,distance,0.20714285714285716,0.6190476190476191,0.25396825396825395,0.6278195488721805
2,KNeighborsClassifier,2,uniform,0.38095238095238093,0.5714285714285714,0.4444444444444444,0.7581453634085213
3,KNeighborsClassifier,2,distance,0.2857142857142857,0.38095238095238093,0.31746031746031744,0.7531328320802005
4,KNeighborsClassifier,3,uniform,0.38095238095238093,0.5714285714285714,0.4444444444444444,0.7756892230576441
5,KNeighborsClassifier,3,distance,0.2857142857142857,0.38095238095238093,0.31746031746031744,0.7706766917293233
6,KNeighborsClassifier,4,uniform,0.38095238095238093,0.5714285714285714,0.4444444444444444,0.7756892230576441
7,KNeighborsClassifier,4,distance,0.2857142857142857,0.38095238095238093,0.31746031746031744,0.7706766917293233
8,KNeighborsClassifier,5,uniform,0.38095238095238093,0.5714285714285714,0.4444444444444444,0.7969924812030075
9,KNeighborsClassifier,5,distance,0.2857142857142857,0.38095238095238093,0.31746031746031744,0.7919799498746867
10,KNeighborsClassifier,10,uniform,0.38095238095238093,0.5714285714285714,0.4444444444444444,0.8947368421052632
11,KNeighborsClassifier,10,distance,0.2857142857142857,0.38095238095238093,0.31746031746031744,0.8897243107769424
12,KNeighborsClassifier,20,uniform,0.35714285714285715,0.5714285714285714,0.42857142857142855,0.9047619047619048
13,KNeighborsClassifier,20,distance,0.3333333333333333,0.42857142857142855,0.36507936507936506,0.9010025062656641
14,KNeighborsClassifier,40,uniform,0.5158730158730158,0.5714285714285714,0.5317460317460317,0.9448621553884712
15,KNeighborsClassifier,40,distance,0.5,0.5238095238095238,0.5079365079365079,0.9411027568922306
16,KNeighborsClassifier,50,uniform,0.5158730158730158,0.5714285714285714,0.5317460317460317,0.9486215538847118
17,KNeighborsClassifier,50,distance,0.5,0.5238095238095238,0.5079365079365079,0.943609022556391
