model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7694235588972431
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7969924812030076
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8345864661654135
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8045112781954887
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8596491228070176
MLPClassifier,"(10, 10, 10, 10)",tanh,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9072681704260652
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9072681704260652
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9072681704260652
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9147869674185464
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.899749373433584
MLPClassifier,"(10, 10, 10, 10)",tanh,sgd,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8295739348370927
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.0001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7819548872180452
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8771929824561404
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6917293233082707
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.837092731829574
MLPClassifier,"(10, 10, 10, 10)",tanh,lbfgs,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7894736842105263
MLPClassifier,"(10, 10, 10, 10)",relu,adam,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8521303258145364
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8320802005012532
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8596491228070176
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8646616541353384
MLPClassifier,"(10, 10, 10, 10)",relu,adam,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.862155388471178
MLPClassifier,"(10, 10, 10, 10)",relu,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,1e-05,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.912280701754386
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.8959899749373433
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9060150375939849
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8796992481203008
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8972431077694236
MLPClassifier,"(10, 10, 10, 10)",relu,sgd,1.0,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.9273182957393484
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,1e-05,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8822055137844612
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.0001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8947368421052632
MLPClassifier,"(10, 10, 10, 10)",relu,lbfgs,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8884711779448622
