model,gamma,kernel,C,precision_score,recall_score,f1_score,roc_auc_score
SVC,1e-05,rbf,0.001,0.05,1,0.095238095,0.5
SVC,1e-05,rbf,0.031622777,0.05,1,0.095238095,0.5
SVC,1e-05,rbf,1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.937343358
SVC,1e-05,rbf,31.622776601683793,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9273182957393484
SVC,1e-05,rbf,1000,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.92481203
SVC,0.001,rbf,0.001,0.05,1,0.095238095,0.5
SVC,0.001,rbf,0.031622777,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.937343358
SVC,0.001,rbf,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
SVC,0.001,rbf,31.622776601683793,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9273182957393484
SVC,0.001,rbf,1000,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9072681704260652
SVC,0.1,rbf,0.001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9022556390977444
SVC,0.1,rbf,0.031622777,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9398496240601504
SVC,0.1,rbf,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.92481203
SVC,0.1,rbf,31.622776601683793,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8709273182957393
SVC,0.1,rbf,1000,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8571428571428571
SVC,10,rbf,0.001,0.05,1,0.095238095,0.5
SVC,10,rbf,0.031622777,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6892230576441103
SVC,10,rbf,1,0.13333333333333333,0.8571428571428571,0.1678004535147392,0.543859649
SVC,10,rbf,31.622776601683793,0.13333333333333333,0.8571428571428571,0.1678004535147392,0.543859649
SVC,10,rbf,1000,0.13333333333333333,0.8571428571428571,0.1678004535147392,0.543859649
SVC,1000,rbf,0.001,0.05,1,0.095238095,0.5
SVC,1000,rbf,0.031622777,0.05,1,0.095238095,0.5
SVC,1000,rbf,1,0.05,1,0.095238095,0.5
SVC,100,rbf,0.001,0.05,1,0.095238095,0.5
SVC,100,rbf,0.031622777,0.2049672500579179,0.42857142857142855,0.21776266061980348,0.5037593984962406
SVC,100,rbf,1,0.20349136730715678,0.42857142857142855,0.21514991961696958,0.487468672
SVC,100,rbf,31.622776601683793,0.20349136730715678,0.42857142857142855,0.21514991961696958,0.487468672
SVC,100,rbf,1000,0.20349136730715678,0.42857142857142855,0.21514991961696958,0.4862155388471178
SVC,1e-05,sigmoid,0.001,0.05,1,0.095238095,0.5
SVC,1e-05,sigmoid,0.031622777,0.05,1,0.095238095,0.5
SVC,1e-05,sigmoid,1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9298245614035088
SVC,1e-05,sigmoid,31.622776601683793,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
SVC,1e-05,sigmoid,1000,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
SVC,0.001,sigmoid,0.001,0.05,1,0.095238095,0.5
SVC,0.001,sigmoid,0.031622777,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9323308270676692
SVC,0.001,sigmoid,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
SVC,0.001,sigmoid,31.622776601683793,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.92481203
SVC,0.001,sigmoid,1000,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9223057644110276
SVC,0.1,sigmoid,0.001,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9323308270676692
SVC,0.1,sigmoid,0.031622777,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8270676691729323
SVC,0.1,sigmoid,1,0.095238095,0.095238095,0.095238095,0.7042606516290727
SVC,0.1,sigmoid,31.622776601683793,0.095238095,0.095238095,0.095238095,0.6992481203007519
SVC,0.1,sigmoid,1000,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8822055137844611
SVC,10,sigmoid,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9147869674185464
SVC,10,sigmoid,0.031622777,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8320802005012532
SVC,10,sigmoid,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8270676691729324
SVC,10,sigmoid,31.622776601683793,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8295739348370927
SVC,10,sigmoid,1000,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8295739348370927
SVC,1000,sigmoid,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9147869674185464
SVC,1000,sigmoid,0.031622777,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8345864661654135
SVC,1000,sigmoid,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8270676691729324
SVC,1000,sigmoid,31.622776601683793,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8270676691729324
SVC,1000,sigmoid,1000,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8270676691729324
